OrderNumber,WarehouseStatus,CustOrderNum,ItemNumber,Warehouse,OrderQty,ShippedQty,CancelQty
S8284834,Waved,#24082022,W1449R032993,AS,1,0,0
S8284834,Waved,#24082022,W3903R013,AS,1,0,0
S8284834,Waved,#24082022,W1430R003,AS,1,0,0
S8284834,Waved,#24082022,W1430R012,AS,1,0,0
S8284834,Waved,#24082022,W51432R038421,AS,1,0,0
S8284834,Waved,#24082022,W51432R011,AS,1,0,0
S8284942,Waved,#24082030,W6334R038421,AS,1,0,0
S8284946,Waved,#24082033,W6334R044813,AS,1,0,0
S8284949,Waved,#24082035,W6480R010,AS,1,0,0
S8284983,Waved,#24082039,A0685U05273070,AS,1,0,0
S8284990,Waved,#24082042,W51432R044810,AS,1,0,0
S8285007,Picking,#24082046,W51432R044813,AS,1,0,0
S8285007,Picking,#24082046,W51432R044812,AS,1,0,0
S8285011,XBADDR,#24082051,W8278R056173,AS,1,0,0
SML85014,Accepted,#24082051,W6491R033203,AYS116,1,0,0
S8285177,Picking,EXCHL-22176140-1,W3442R010,AS,1,0,0
S8285177,Picking,EXCHL-22176140-1,W3442R012,AS,1,0,0
S8285018,Accepted,#24082052,M1205R038425,AS,1,0,0
S8285018,Accepted,#24082052,M1205R054425,AS,1,0,0
S8285018,Accepted,#24082052,M1205R015,AS,1,0,0
S8285018,Accepted,#24082052,M3266R015,AS,1,0,0
S8285020,Waved,#24082055,W2675RG00011,AS,1,0,0
SH285022,Accepted,#24082058,W9587R060233,AYS004,1,0,0
